Frame(0) : Total Error(10979.528320), MaxPixelError(0.996078) 
Frame(1) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(2) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(3) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(4) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(5) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(6) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(7) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(8) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(9) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(10) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(11) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(12) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(13) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(14) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(15) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(16) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(17) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(18) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(19) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(20) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(21) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(22) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(23) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(24) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(25) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(26) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(27) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(28) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(29) : Total Error(10979.589844), MaxPixelError(0.996078) 
Frame(30) : Total Error(10979.589844), MaxPixelError(0.996078) 
