Frame(0) : Total Error(1.823542), MaxPixelError(0.003922) 
Frame(1) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(2) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(3) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(4) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(5) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(6) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(7) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(8) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(9) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(10) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(11) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(12) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(13) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(14) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(15) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(16) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(17) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(18) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(19) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(20) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(21) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(22) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(23) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(24) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(25) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(26) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(27) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(28) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(29) : Total Error(54.909790), MaxPixelError(0.741176) 
Frame(30) : Total Error(54.909790), MaxPixelError(0.741176) 
