Frame(0) : Total Error(0.016227), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(1) : Total Error(0.016225), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(2) : Total Error(0.016207), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(3) : Total Error(0.016201), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(4) : Total Error(0.016215), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(5) : Total Error(0.016229), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(6) : Total Error(0.016215), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(7) : Total Error(0.016235), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(8) : Total Error(0.016262), MaxPixelError(0.996078), PixelVariance(0.001469) 
Frame(9) : Total Error(0.016257), MaxPixelError(0.996078), PixelVariance(0.001469) 
Frame(10) : Total Error(0.016245), MaxPixelError(0.996078), PixelVariance(0.001469) 
Frame(11) : Total Error(0.016227), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(12) : Total Error(0.016219), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(13) : Total Error(0.016189), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(14) : Total Error(0.016196), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(15) : Total Error(0.016174), MaxPixelError(0.996078), PixelVariance(0.001470) 
Frame(16) : Total Error(0.016151), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(17) : Total Error(0.016142), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(18) : Total Error(0.016131), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(19) : Total Error(0.016118), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(20) : Total Error(0.016131), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(21) : Total Error(0.016149), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(22) : Total Error(0.016139), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(23) : Total Error(0.016125), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(24) : Total Error(0.016141), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(25) : Total Error(0.016141), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(26) : Total Error(0.016149), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(27) : Total Error(0.016148), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(28) : Total Error(0.016116), MaxPixelError(0.996078), PixelVariance(0.001471) 
Frame(29) : Total Error(0.016079), MaxPixelError(0.996078), PixelVariance(0.001465) 
Frame(30) : Total Error(0.016048), MaxPixelError(0.996078), PixelVariance(0.001465) 
