Frame(0) : Total Error(0.018658), MaxPixelError(0.996078), PixelVariance(0.001629) 
Frame(1) : Total Error(0.018676), MaxPixelError(0.996078), PixelVariance(0.001628) 
Frame(2) : Total Error(0.018717), MaxPixelError(0.996078), PixelVariance(0.001628) 
Frame(3) : Total Error(0.017727), MaxPixelError(0.996078), PixelVariance(0.001518) 
Frame(4) : Total Error(0.016768), MaxPixelError(0.996078), PixelVariance(0.001493) 
Frame(5) : Total Error(0.016771), MaxPixelError(0.996078), PixelVariance(0.001492) 
Frame(6) : Total Error(0.016843), MaxPixelError(0.996078), PixelVariance(0.001492) 
Frame(7) : Total Error(0.016938), MaxPixelError(0.996078), PixelVariance(0.001492) 
Frame(8) : Total Error(0.017032), MaxPixelError(0.996078), PixelVariance(0.001497) 
Frame(9) : Total Error(0.017119), MaxPixelError(0.996078), PixelVariance(0.001496) 
Frame(10) : Total Error(0.017166), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(11) : Total Error(0.017192), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(12) : Total Error(0.017213), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(13) : Total Error(0.017248), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(14) : Total Error(0.017289), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(15) : Total Error(0.017337), MaxPixelError(0.996078), PixelVariance(0.001495) 
Frame(16) : Total Error(0.017407), MaxPixelError(0.996078), PixelVariance(0.001494) 
Frame(17) : Total Error(0.017474), MaxPixelError(0.996078), PixelVariance(0.001494) 
Frame(18) : Total Error(0.017536), MaxPixelError(0.996078), PixelVariance(0.001494) 
Frame(19) : Total Error(0.017588), MaxPixelError(0.996078), PixelVariance(0.001493) 
Frame(20) : Total Error(0.017658), MaxPixelError(0.996078), PixelVariance(0.001493) 
Frame(21) : Total Error(0.017728), MaxPixelError(0.996078), PixelVariance(0.001492) 
Frame(22) : Total Error(0.017787), MaxPixelError(0.996078), PixelVariance(0.001492) 
Frame(23) : Total Error(0.017866), MaxPixelError(0.996078), PixelVariance(0.001491) 
Frame(24) : Total Error(0.017914), MaxPixelError(0.996078), PixelVariance(0.001496) 
Frame(25) : Total Error(0.017969), MaxPixelError(0.996078), PixelVariance(0.001496) 
Frame(26) : Total Error(0.018019), MaxPixelError(0.996078), PixelVariance(0.001497) 
Frame(27) : Total Error(0.018064), MaxPixelError(0.996078), PixelVariance(0.001497) 
Frame(28) : Total Error(0.018090), MaxPixelError(0.996078), PixelVariance(0.001496) 
Frame(29) : Total Error(0.018116), MaxPixelError(0.996078), PixelVariance(0.001497) 
Frame(30) : Total Error(0.018156), MaxPixelError(0.996078), PixelVariance(0.001496) 
