Frame(0) : Total Error(0.003452), MaxPixelError(0.996078), PixelVariance(0.000185) 
Frame(1) : Total Error(0.003548), MaxPixelError(0.996078), PixelVariance(0.000185) 
Frame(2) : Total Error(0.003689), MaxPixelError(0.996078), PixelVariance(0.000186) 
Frame(3) : Total Error(0.002783), MaxPixelError(0.996078), PixelVariance(0.000075) 
Frame(4) : Total Error(0.001846), MaxPixelError(0.996078), PixelVariance(0.000016) 
Frame(5) : Total Error(0.001901), MaxPixelError(0.996078), PixelVariance(0.000014) 
Frame(6) : Total Error(0.002034), MaxPixelError(0.996078), PixelVariance(0.000016) 
Frame(7) : Total Error(0.002168), MaxPixelError(0.996078), PixelVariance(0.000018) 
Frame(8) : Total Error(0.002299), MaxPixelError(0.996078), PixelVariance(0.000020) 
Frame(9) : Total Error(0.002403), MaxPixelError(0.996078), PixelVariance(0.000021) 
Frame(10) : Total Error(0.002484), MaxPixelError(0.996078), PixelVariance(0.000022) 
Frame(11) : Total Error(0.002530), MaxPixelError(0.996078), PixelVariance(0.000024) 
Frame(12) : Total Error(0.002584), MaxPixelError(0.996078), PixelVariance(0.000026) 
Frame(13) : Total Error(0.002666), MaxPixelError(0.996078), PixelVariance(0.000028) 
Frame(14) : Total Error(0.002742), MaxPixelError(0.996078), PixelVariance(0.000029) 
Frame(15) : Total Error(0.002816), MaxPixelError(0.996078), PixelVariance(0.000030) 
Frame(16) : Total Error(0.002922), MaxPixelError(0.996078), PixelVariance(0.000032) 
Frame(17) : Total Error(0.002996), MaxPixelError(0.996078), PixelVariance(0.000035) 
Frame(18) : Total Error(0.003079), MaxPixelError(0.996078), PixelVariance(0.000036) 
Frame(19) : Total Error(0.003167), MaxPixelError(0.996078), PixelVariance(0.000038) 
Frame(20) : Total Error(0.003245), MaxPixelError(0.996078), PixelVariance(0.000041) 
Frame(21) : Total Error(0.003346), MaxPixelError(0.996078), PixelVariance(0.000042) 
Frame(22) : Total Error(0.003429), MaxPixelError(0.996078), PixelVariance(0.000044) 
Frame(23) : Total Error(0.003539), MaxPixelError(0.996078), PixelVariance(0.000046) 
Frame(24) : Total Error(0.003618), MaxPixelError(0.996078), PixelVariance(0.000047) 
Frame(25) : Total Error(0.003691), MaxPixelError(0.996078), PixelVariance(0.000051) 
Frame(26) : Total Error(0.003762), MaxPixelError(0.996078), PixelVariance(0.000052) 
Frame(27) : Total Error(0.003825), MaxPixelError(0.996078), PixelVariance(0.000054) 
Frame(28) : Total Error(0.003873), MaxPixelError(0.996078), PixelVariance(0.000055) 
Frame(29) : Total Error(0.003912), MaxPixelError(0.996078), PixelVariance(0.000057) 
Frame(30) : Total Error(0.003981), MaxPixelError(0.996078), PixelVariance(0.000058) 
